timestamp,elapsed_s,event,detail
2026-02-23T23:08:29,0.0,session_start,log=D:\AdaptGaze_Emotion\AdaptGaze\logs\session_20260223_230829.csv
2026-02-23T23:08:29,0.0,profile,loading=Tamil
2026-02-23T23:08:37,8.24,model_loaded,profile=Tamil
2026-02-23T23:08:38,8.53,fatigue,DROWSY
2026-02-23T23:08:38,8.6,attention,AWAY
2026-02-23T23:08:38,8.95,smart_fatigue,LOW score=0.000
2026-02-23T23:08:38,9.33,emotion,HAPPY speed=1.0
2026-02-23T23:08:38,9.33,attention,TRANSITIONING
2026-02-23T23:08:39,9.87,attention,DISTRACTED
2026-02-23T23:08:41,11.63,emotion,NEUTRAL speed=1.0
2026-02-23T23:08:41,11.86,emotion,HAPPY speed=1.0
2026-02-23T23:08:41,12.07,blink,single_left_click
2026-02-23T23:08:41,12.07,emotion,NEUTRAL speed=1.0
2026-02-23T23:08:42,12.83,emotion,SAD speed=0.5
2026-02-23T23:08:46,16.58,attention,AWAY
2026-02-23T23:08:52,22.84,attention,TRANSITIONING
2026-02-23T23:08:52,23.12,smart_fatigue,MODERATE score=0.291
2026-02-23T23:08:53,23.55,attention,DISTRACTED
2026-02-23T23:08:53,23.97,blink,single_left_click
2026-02-23T23:08:53,24.2,smart_fatigue,LOW score=0.118
2026-02-23T23:08:54,24.9,emotion,NEUTRAL speed=1.0
2026-02-23T23:08:55,25.52,blink,single_left_click
2026-02-23T23:08:55,26.32,blink,double_right_click
2026-02-23T23:08:56,26.65,emotion,SAD speed=0.5
2026-02-23T23:08:56,26.9,attention,TRANSITIONING
2026-02-23T23:08:58,28.99,emotion,HAPPY speed=1.0
2026-02-23T23:09:01,31.76,attention,FOCUSED
2026-02-23T23:09:03,33.42,emotion,SAD speed=0.5
2026-02-23T23:09:03,34.13,attention,TRANSITIONING
2026-02-23T23:09:05,35.59,attention,DISTRACTED
2026-02-23T23:09:05,35.81,blink,single_left_click
2026-02-23T23:09:07,38.39,blink,single_left_click
2026-02-23T23:09:08,38.87,attention,TRANSITIONING
2026-02-23T23:09:09,39.53,blink,single_left_click
2026-02-23T23:09:09,40.06,attention,FOCUSED
2026-02-23T23:09:10,41.36,blink,single_left_click
2026-02-23T23:09:10,41.36,fatigue,NORMAL
2026-02-23T23:09:11,41.42,attention,TRANSITIONING
2026-02-23T23:09:11,41.88,attention,FOCUSED
2026-02-23T23:09:12,42.68,blink,single_left_click
2026-02-23T23:09:13,43.58,blink,double_right_click
2026-02-23T23:09:14,44.68,smart_fatigue,MODERATE score=0.421
2026-02-23T23:09:15,45.42,blink,single_left_click
2026-02-23T23:09:15,45.6,attention,TRANSITIONING
2026-02-23T23:09:16,46.93,smart_fatigue,HIGH score=0.505
2026-02-23T23:09:16,47.4,emotion,HAPPY speed=1.0
2026-02-23T23:09:17,47.77,blink,single_left_click
2026-02-23T23:09:17,48.07,emotion,NEUTRAL speed=1.0
2026-02-23T23:09:17,48.07,smart_fatigue,CRITICAL score=0.780
2026-02-23T23:09:18,49.28,smart_fatigue,HIGH score=0.741
2026-02-23T23:09:20,50.42,emotion,HAPPY speed=1.0
2026-02-23T23:09:20,50.42,smart_fatigue,CRITICAL score=0.816
2026-02-23T23:09:20,51.18,attention,FOCUSED
2026-02-23T23:09:20,51.27,blink,single_left_click
2026-02-23T23:09:21,51.48,attention,TRANSITIONING
2026-02-23T23:09:22,52.8,smart_fatigue,HIGH score=0.700
2026-02-23T23:09:23,53.97,emotion,NEUTRAL speed=1.0
2026-02-23T23:09:23,54.2,blink,double_right_click
2026-02-23T23:09:24,54.57,attention,FOCUSED
2026-02-23T23:09:24,55.13,smart_fatigue,MODERATE score=0.387
2026-02-23T23:09:24,55.21,blink,single_left_click
2026-02-23T23:09:25,55.48,attention,TRANSITIONING
2026-02-23T23:09:25,56.36,attention,DISTRACTED
2026-02-23T23:09:26,56.49,blink,double_right_click
2026-02-23T23:09:28,58.47,emotion,SAD speed=0.5
2026-02-23T23:09:28,58.57,attention,TRANSITIONING
2026-02-23T23:09:28,58.65,emotion,NEUTRAL speed=1.0
2026-02-23T23:09:29,59.54,emotion,SAD speed=0.5
2026-02-23T23:09:30,61.14,attention,DISTRACTED
2026-02-23T23:09:33,63.7,emotion,NEUTRAL speed=1.0
2026-02-23T23:09:35,66.35,emotion,SAD speed=0.5
2026-02-23T23:09:39,69.57,emotion,NEUTRAL speed=1.0
2026-02-23T23:09:39,69.81,emotion,HAPPY speed=1.0
2026-02-23T23:09:40,71.04,attention,TRANSITIONING
2026-02-23T23:09:40,71.27,emotion,NEUTRAL speed=1.0
2026-02-23T23:09:41,71.48,emotion,HAPPY speed=1.0
2026-02-23T23:09:41,71.67,attention,FOCUSED
2026-02-23T23:09:41,71.74,emotion,NEUTRAL speed=1.0
2026-02-23T23:09:43,73.83,attention,TRANSITIONING
2026-02-23T23:09:48,78.55,attention,DISTRACTED
2026-02-23T23:09:49,79.89,blink,single_left_click
2026-02-23T23:09:50,80.41,emotion,SAD speed=0.5
2026-02-23T23:09:54,84.49,attention,TRANSITIONING
2026-02-23T23:09:54,84.84,blink,single_left_click
2026-02-23T23:09:54,85.37,attention,FOCUSED
2026-02-23T23:09:55,86.09,smart_fatigue,HIGH score=0.520
2026-02-23T23:09:56,86.84,blink,single_left_click
2026-02-23T23:09:56,87.23,smart_fatigue,CRITICAL score=0.819
2026-02-23T23:09:57,88.22,blink,single_left_click
2026-02-23T23:09:58,89.04,attention,TRANSITIONING
2026-02-23T23:09:59,89.83,attention,DISTRACTED
2026-02-23T23:10:00,90.72,blink,single_left_click
2026-02-23T23:10:03,93.58,blink,double_right_click
2026-02-23T23:10:03,94.23,smart_fatigue,HIGH score=0.609
2026-02-23T23:10:04,94.91,blink,single_left_click
2026-02-23T23:10:05,95.69,attention,TRANSITIONING
2026-02-23T23:10:05,96.2,emotion,HAPPY speed=1.0
2026-02-23T23:10:06,96.9,blink,single_left_click
2026-02-23T23:10:07,97.45,attention,DISTRACTED
2026-02-23T23:10:07,97.87,smart_fatigue,CRITICAL score=0.830
2026-02-23T23:10:07,98.11,blink,single_left_click
2026-02-23T23:10:08,99.02,emotion,NEUTRAL speed=1.0
2026-02-23T23:10:09,99.77,emotion,HAPPY speed=1.0
2026-02-23T23:10:09,99.99,emotion,NEUTRAL speed=1.0
2026-02-23T23:10:10,100.63,emotion,HAPPY speed=1.0
2026-02-23T23:10:10,100.71,attention,TRANSITIONING
2026-02-23T23:10:10,100.85,emotion,SAD speed=0.5
2026-02-23T23:10:11,101.51,emotion,NEUTRAL speed=1.0
2026-02-23T23:10:11,101.71,emotion,SAD speed=0.5
2026-02-23T23:10:11,102.0,attention,FOCUSED
2026-02-23T23:10:12,102.68,attention,TRANSITIONING
2026-02-23T23:10:12,102.98,attention,DISTRACTED
2026-02-23T23:10:13,103.42,smart_fatigue,HIGH score=0.729
2026-02-23T23:10:15,105.64,emotion,NEUTRAL speed=1.0
2026-02-23T23:10:15,106.11,attention,TRANSITIONING
2026-02-23T23:10:17,107.71,blink,double_right_click
2026-02-23T23:10:17,108.11,attention,FOCUSED
2026-02-23T23:10:17,108.11,smart_fatigue,MODERATE score=0.419
2026-02-23T23:10:18,109.25,blink,single_left_click
2026-02-23T23:10:19,109.55,emotion,SAD speed=0.5
2026-02-23T23:10:19,110.17,emotion,HAPPY speed=1.0
2026-02-23T23:10:20,110.74,attention,TRANSITIONING
2026-02-23T23:10:20,111.24,blink,single_left_click
2026-02-23T23:10:21,112.33,attention,FOCUSED
2026-02-23T23:10:22,112.77,auto_recal,recalibration_needed
2026-02-23T23:10:23,114.16,blink,single_left_click
2026-02-23T23:10:24,115.13,smart_fatigue,HIGH score=0.650
2026-02-23T23:10:26,116.51,attention,TRANSITIONING
2026-02-23T23:10:27,117.94,blink,single_left_click
2026-02-23T23:10:27,118.19,emotion,NEUTRAL speed=1.0
2026-02-23T23:10:29,119.99,attention,FOCUSED
2026-02-23T23:10:29,120.22,blink,double_right_click
2026-02-23T23:10:30,121.0,smart_fatigue,MODERATE score=0.350
2026-02-23T23:10:31,121.55,attention,TRANSITIONING
2026-02-23T23:10:31,122.19,blink,single_left_click
2026-02-23T23:10:33,124.32,blink,single_left_click
2026-02-23T23:10:34,124.53,smart_fatigue,HIGH score=0.650
2026-02-23T23:10:35,125.65,emotion,HAPPY speed=1.0
2026-02-23T23:10:37,127.5,emotion,NEUTRAL speed=1.0
2026-02-23T23:10:37,127.5,attention,DISTRACTED
2026-02-23T23:10:37,127.73,emotion,HAPPY speed=1.0
2026-02-23T23:10:37,128.4,emotion,SAD speed=0.5
2026-02-23T23:10:40,130.86,attention,TRANSITIONING
2026-02-23T23:10:42,132.88,attention,FOCUSED
2026-02-23T23:10:42,133.34,blink,single_left_click
2026-02-23T23:10:44,134.73,blink,single_left_click
2026-02-23T23:10:50,141.18,attention,TRANSITIONING
2026-02-23T23:10:51,141.89,blink,single_left_click
2026-02-23T23:10:54,145.0,blink,double_right_click
2026-02-23T23:10:54,145.0,attention,DISTRACTED
2026-02-23T23:10:55,145.98,smart_fatigue,CRITICAL score=0.783
2026-02-23T23:10:56,147.22,smart_fatigue,MODERATE score=0.452
2026-02-23T23:10:57,147.42,attention,TRANSITIONING
2026-02-23T23:10:57,148.21,attention,FOCUSED
2026-02-23T23:10:57,148.37,smart_fatigue,HIGH score=0.556
2026-02-23T23:10:58,149.01,emotion,NEUTRAL speed=1.0
2026-02-23T23:11:00,150.74,blink,single_left_click
2026-02-23T23:11:00,150.74,attention,TRANSITIONING
2026-02-23T23:11:01,152.03,emotion,SAD speed=0.5
2026-02-23T23:11:01,152.03,attention,DISTRACTED
2026-02-23T23:11:03,153.97,attention,TRANSITIONING
2026-02-23T23:11:04,154.54,attention,DISTRACTED
2026-02-23T23:11:04,154.54,smart_fatigue,MODERATE score=0.489
2026-02-23T23:11:06,156.76,attention,TRANSITIONING
2026-02-23T23:11:06,156.91,smart_fatigue,CRITICAL score=0.774
2026-02-23T23:11:07,157.92,attention,DISTRACTED
2026-02-23T23:11:09,159.49,blink,single_left_click
2026-02-23T23:11:10,160.81,attention,TRANSITIONING
2026-02-23T23:11:11,162.08,attention,FOCUSED
2026-02-23T23:11:12,162.58,attention,TRANSITIONING
2026-02-23T23:11:13,163.74,blink,single_left_click
2026-02-23T23:11:14,165.03,blink,single_left_click
