timestamp,elapsed_s,event,detail
2026-02-23T21:56:28,0.0,session_start,log=D:\AdaptGaze_Emotion\AdaptGaze\logs\session_20260223_215628.csv
2026-02-23T21:56:28,0.0,profile,loading=Tamil
2026-02-23T21:56:33,5.66,model_loaded,profile=Tamil
2026-02-23T21:56:34,5.83,fatigue,DROWSY
2026-02-23T21:56:34,6.04,attention,TRANSITIONING
2026-02-23T21:56:34,6.12,emotion,SAD speed=0.5
2026-02-23T21:56:34,6.71,emotion,NEUTRAL speed=1.0
2026-02-23T21:56:35,6.79,attention,FOCUSED
2026-02-23T21:56:35,6.96,emotion,SAD speed=0.5
2026-02-23T21:56:35,7.12,attention,TRANSITIONING
2026-02-23T21:56:35,7.19,emotion,NEUTRAL speed=1.0
2026-02-23T21:56:35,7.19,smart_fatigue,LOW score=0.070
2026-02-23T21:56:36,8.0,attention,DISTRACTED
2026-02-23T21:56:36,8.54,emotion,SAD speed=0.5
2026-02-23T21:56:39,11.4,smart_fatigue,MODERATE score=0.455
2026-02-23T21:56:39,11.58,attention,TRANSITIONING
2026-02-23T21:56:39,11.76,attention,DISTRACTED
2026-02-23T21:56:43,14.88,emotion,HAPPY speed=1.0
2026-02-23T21:56:44,15.89,blink,single_left_click
2026-02-23T21:56:45,17.3,smart_fatigue,LOW score=0.154
2026-02-23T21:56:46,18.5,emotion,NEUTRAL speed=1.0
2026-02-23T21:56:48,20.16,blink,single_left_click
2026-02-23T21:56:48,20.4,emotion,SAD speed=0.5
2026-02-23T21:56:51,22.98,emotion,HAPPY speed=1.0
2026-02-23T21:56:54,25.83,emotion,SAD speed=0.5
2026-02-23T21:56:54,26.58,blink,single_left_click
2026-02-23T21:56:56,28.51,attention,TRANSITIONING
2026-02-23T21:56:57,29.51,attention,FOCUSED
2026-02-23T21:56:58,30.2,blink,single_left_click
2026-02-23T21:57:00,32.71,blink,single_left_click
2026-02-23T21:57:06,37.96,blink,single_left_click
2026-02-23T21:57:08,40.35,attention,AWAY
2026-02-23T21:57:16,48.55,attention,TRANSITIONING
2026-02-23T21:57:20,51.91,emotion,NEUTRAL speed=1.0
2026-02-23T21:57:20,52.13,attention,DISTRACTED
2026-02-23T21:57:23,55.31,attention,AWAY
2026-02-23T21:57:31,63.11,emotion,SAD speed=0.5
2026-02-23T21:57:31,63.11,attention,TRANSITIONING
2026-02-23T21:57:35,67.49,emotion,HAPPY speed=1.0
2026-02-23T21:57:37,69.68,blink,single_left_click
2026-02-23T21:57:38,70.17,attention,FOCUSED
2026-02-23T21:57:41,72.82,emotion,SAD speed=0.5
2026-02-23T21:57:41,73.4,emotion,NEUTRAL speed=1.0
2026-02-23T21:57:41,73.61,blink,single_left_click
2026-02-23T21:57:41,73.61,fatigue,NORMAL
2026-02-23T21:57:44,75.93,fatigue,DROWSY
2026-02-23T21:57:47,79.32,emotion,SAD speed=0.5
2026-02-23T21:57:50,82.41,blink,double_right_click
2026-02-23T21:57:51,82.84,emotion,HAPPY speed=1.0
2026-02-23T21:57:51,83.06,attention,TRANSITIONING
2026-02-23T21:57:52,83.77,attention,DISTRACTED
2026-02-23T21:57:56,88.44,blink,single_left_click
2026-02-23T21:57:57,89.67,smart_fatigue,MODERATE score=0.350
2026-02-23T21:57:59,90.9,emotion,SAD speed=0.5
2026-02-23T21:57:59,91.32,blink,single_left_click
2026-02-23T21:57:59,91.42,attention,TRANSITIONING
2026-02-23T21:58:00,92.24,blink,single_left_click
2026-02-23T21:58:00,92.24,fatigue,NORMAL
2026-02-23T21:58:00,92.72,fatigue,DROWSY
2026-02-23T21:58:01,92.84,attention,FOCUSED
2026-02-23T21:58:01,93.36,emotion,NEUTRAL speed=1.0
2026-02-23T21:58:01,93.68,emotion,SAD speed=0.5
2026-02-23T21:58:03,95.76,emotion,NEUTRAL speed=1.0
2026-02-23T21:58:04,96.05,emotion,SAD speed=0.5
2026-02-23T21:58:05,96.97,emotion,NEUTRAL speed=1.0
2026-02-23T21:58:06,98.29,emotion,SAD speed=0.5
2026-02-23T21:58:06,98.43,blink,single_left_click
2026-02-23T21:58:10,101.93,attention,TRANSITIONING
2026-02-23T21:58:11,103.13,emotion,HAPPY speed=1.0
2026-02-23T21:58:11,103.54,attention,DISTRACTED
2026-02-23T21:58:13,105.76,blink,single_left_click
2026-02-23T21:58:13,105.76,fatigue,NORMAL
2026-02-23T21:58:14,106.58,blink,single_left_click
2026-02-23T21:58:15,107.43,attention,TRANSITIONING
2026-02-23T21:58:16,108.07,blink,single_left_click
2026-02-23T21:58:16,108.58,attention,FOCUSED
2026-02-23T21:58:18,110.09,blink,single_left_click
2026-02-23T21:58:21,112.97,auto_recal,recalibration_needed
2026-02-23T21:58:21,113.37,blink,single_left_click
2026-02-23T21:58:23,114.78,attention,TRANSITIONING
2026-02-23T21:58:24,116.33,attention,FOCUSED
2026-02-23T21:58:24,116.45,emotion,NEUTRAL speed=1.0
2026-02-23T21:58:25,117.51,blink,single_left_click
2026-02-23T21:58:34,126.4,blink,single_left_click
2026-02-23T21:58:34,126.65,emotion,HAPPY speed=1.0
2026-02-23T21:58:36,128.08,blink,single_left_click
2026-02-23T21:58:39,131.11,blink,single_left_click
2026-02-23T21:58:41,132.96,blink,single_left_click
2026-02-23T21:58:42,133.82,emotion,NEUTRAL speed=1.0
2026-02-23T21:58:42,133.82,smart_fatigue,HIGH score=0.679
2026-02-23T21:58:42,134.16,attention,TRANSITIONING
2026-02-23T21:58:44,135.78,attention,FOCUSED
2026-02-23T21:58:44,136.27,attention,TRANSITIONING
2026-02-23T21:58:45,136.95,attention,FOCUSED
2026-02-23T21:58:45,137.68,emotion,HAPPY speed=1.0
2026-02-23T21:58:46,137.77,attention,TRANSITIONING
2026-02-23T21:58:46,137.94,attention,FOCUSED
2026-02-23T21:58:47,139.66,blink,single_left_click
2026-02-23T21:58:48,140.75,attention,TRANSITIONING
2026-02-23T21:58:49,141.3,smart_fatigue,CRITICAL score=0.775
2026-02-23T21:58:49,141.62,attention,DISTRACTED
2026-02-23T21:58:50,141.77,blink,single_left_click
2026-02-23T21:58:50,142.01,emotion,SAD speed=0.5
2026-02-23T21:58:52,143.96,attention,TRANSITIONING
2026-02-23T21:58:52,144.28,blink,single_left_click
2026-02-23T21:58:53,144.88,smart_fatigue,HIGH score=0.745
2026-02-23T21:58:53,145.11,attention,FOCUSED
2026-02-23T21:58:56,148.5,attention,TRANSITIONING
2026-02-23T21:58:59,151.07,emotion,NEUTRAL speed=1.0
2026-02-23T21:58:59,151.31,emotion,SAD speed=0.5
2026-02-23T21:58:59,151.31,attention,FOCUSED
2026-02-23T21:58:59,151.54,emotion,NEUTRAL speed=1.0
2026-02-23T21:59:00,151.86,emotion,SAD speed=0.5
2026-02-23T21:59:00,152.16,emotion,NEUTRAL speed=1.0
2026-02-23T21:59:01,153.27,emotion,SAD speed=0.5
2026-02-23T21:59:01,153.56,attention,TRANSITIONING
2026-02-23T21:59:02,154.1,attention,DISTRACTED
2026-02-23T21:59:02,154.68,blink,long_drag_start
2026-02-23T21:59:03,154.97,smart_fatigue,MODERATE score=0.361
2026-02-23T21:59:03,155.23,emotion,HAPPY speed=1.0
2026-02-23T21:59:04,155.79,blink,long_drag_end
2026-02-23T21:59:05,156.88,emotion,SAD speed=0.5
2026-02-23T21:59:06,158.42,blink,single_left_click
2026-02-23T21:59:07,159.17,attention,TRANSITIONING
2026-02-23T21:59:08,160.49,attention,FOCUSED
2026-02-23T21:59:09,161.66,blink,single_left_click
2026-02-23T21:59:11,162.83,blink,double_right_click
2026-02-23T21:59:11,162.83,emotion,NEUTRAL speed=1.0
2026-02-23T21:59:12,164.09,emotion,SAD speed=0.5
2026-02-23T21:59:13,164.95,attention,TRANSITIONING
2026-02-23T21:59:13,165.77,emotion,HAPPY speed=1.0
2026-02-23T21:59:15,167.41,blink,single_left_click
2026-02-23T21:59:17,169.57,attention,DISTRACTED
2026-02-23T21:59:17,169.66,blink,single_left_click
2026-02-23T21:59:19,170.98,attention,TRANSITIONING
2026-02-23T21:59:21,173.01,attention,FOCUSED
2026-02-23T21:59:21,173.49,blink,single_left_click
2026-02-23T21:59:23,175.14,attention,TRANSITIONING
2026-02-23T21:59:24,176.06,attention,DISTRACTED
2026-02-23T21:59:25,177.15,emotion,NEUTRAL speed=1.0
2026-02-23T21:59:27,179.2,attention,TRANSITIONING
2026-02-23T21:59:27,179.67,emotion,SAD speed=0.5
2026-02-23T21:59:28,180.69,blink,single_left_click
